2026-03-27 11:29:36 | INFO     | src.ui.node_editor.scene | 场景已同步: 0 节点, 0 连接
2026-03-27 11:29:36 | INFO     | src.ui.node_editor.panel | 拖放添加节点: test.string_processor at (-193, -62)
2026-03-27 11:29:37 | INFO     | src.ui.node_editor.panel | 拖放添加节点: test.math_calculator at (89, -156)
2026-03-27 11:29:58 | INFO     | src.ui.main_window | 主窗口关闭
2026-03-27 11:29:58 | INFO     | __main__ | 应用关闭中...
2026-03-27 11:29:58 | INFO     | src.core.app_context | 开始关闭 AppContext...
2026-03-27 11:29:58 | INFO     | src.core.plugin_manager | 插件卸载成功: test_widgets
2026-03-27 11:29:58 | INFO     | src.core.plugin_manager | 插件卸载成功: text_processing
2026-03-27 11:29:58 | INFO     | src.core.plugin_manager | 所有插件已卸载
2026-03-27 11:29:58 | INFO     | src.core.event_bus | 已清除所有事件订阅
2026-03-27 11:29:58 | INFO     | src.storage.database | 数据库连接已关闭: data/app.db
2026-03-27 11:29:58 | INFO     | src.core.app_context | AppContext 关闭完成
2026-03-27 11:29:58 | INFO     | __main__ | AppContext 已关闭
2026-03-27 11:29:58 | INFO     | __main__ | ==================================================
2026-03-27 11:29:58 | INFO     | __main__ | 应用退出 (code: 0)
2026-03-27 11:29:58 | INFO     | __main__ | ==================================================
2026-03-27 11:30:20 | INFO     | __main__ | ==================================================
2026-03-27 11:30:20 | INFO     | __main__ | 办公小工具整合平台 启动
2026-03-27 11:30:20 | INFO     | __main__ | ==================================================
2026-03-27 11:30:20 | INFO     | src.core.app_context | 开始初始化 AppContext...
2026-03-27 11:30:20 | INFO     | src.storage.database | 数据库引擎创建: data/app.db
2026-03-27 11:30:20 | INFO     | src.storage.database | 数据库表创建完成: data/app.db
2026-03-27 11:30:20 | INFO     | src.core.app_context | 数据库初始化完成: data/app.db
2026-03-27 11:30:20 | INFO     | src.core.app_context | AppContext 初始化完成
2026-03-27 11:30:20 | INFO     | __main__ | AppContext 初始化完成
2026-03-27 11:30:20 | INFO     | src.core.plugin_manager | 发现插件: test_widgets v1.0.0 (plugins/test_widgets)
2026-03-27 11:30:20 | INFO     | src.core.plugin_manager | 发现插件: text_processing v1.0.0 (plugins/text_processing)
2026-03-27 11:30:20 | INFO     | __main__ | 发现 2 个插件: ['test_widgets', 'text_processing']
2026-03-27 11:30:20 | INFO     | src.core.permission_manager | 批量授权: 插件 'test_widgets' 获得权限: ['node.register']
2026-03-27 11:30:20 | INFO     | src.core.plugin_manager | 插件 'test_widgets' 获得权限: ['node.register']
2026-03-27 11:30:20 | INFO     | src.engine.node_engine | 注册节点类型: test.text_input '文本输入测试'
2026-03-27 11:30:20 | INFO     | plugins.test_widgets | 注册测试节点: test.text_input
2026-03-27 11:30:20 | INFO     | src.engine.node_engine | 注册节点类型: test.multi_text_input '多文本输入测试'
2026-03-27 11:30:20 | INFO     | plugins.test_widgets | 注册测试节点: test.multi_text_input
2026-03-27 11:30:20 | INFO     | src.engine.node_engine | 注册节点类型: test.integer_input '整数输入测试'
